epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,749.956,1.48293,1.71587,1.75682,0.45309,0.43261,0.37312,0.19051,1.90163,2.06383,2.19029,0.000848969,0.000848969,0.000848969
43,766.922,1.50677,1.73451,1.76716,0.48537,0.46615,0.41264,0.20528,1.90804,2.08588,2.19615,0.000834822,0.000834822,0.000834822
44,783.835,1.49313,1.75817,1.76656,0.50414,0.43443,0.40098,0.20718,1.85961,2.07819,2.19544,0.000820675,0.000820675,0.000820675
45,800.716,1.46827,1.69807,1.76059,0.4962,0.43123,0.4064,0.20239,1.85189,2.12172,2.20325,0.000806528,0.000806528,0.000806528
46,817.934,1.48386,1.69788,1.76118,0.48586,0.44671,0.4118,0.21299,1.93313,2.02847,2.22413,0.00079238,0.00079238,0.00079238
47,834.855,1.49568,1.68374,1.76318,0.53478,0.4537,0.41543,0.20775,1.92253,2.05517,2.21068,0.000778233,0.000778233,0.000778233
48,851.796,1.49859,1.762,1.7536,0.49538,0.38914,0.37936,0.19896,1.88897,2.11456,2.19256,0.000764086,0.000764086,0.000764086
49,868.953,1.47878,1.70746,1.75621,0.51082,0.42735,0.38689,0.19625,1.90319,2.14915,2.27053,0.000749939,0.000749939,0.000749939
50,886.144,1.47058,1.71355,1.74643,0.54824,0.41695,0.40391,0.20127,1.91852,2.11356,2.26538,0.000735792,0.000735792,0.000735792
51,903.239,1.45484,1.66566,1.72877,0.49774,0.43011,0.40367,0.21313,1.83062,2.05653,2.18758,0.000721645,0.000721645,0.000721645
52,920.465,1.46838,1.71595,1.74168,0.42164,0.44167,0.37036,0.19555,1.85115,2.07787,2.17882,0.000707498,0.000707498,0.000707498
53,937.53,1.4603,1.6544,1.7594,0.50492,0.4293,0.39426,0.20479,1.87288,2.07643,2.19243,0.000693351,0.000693351,0.000693351
54,954.47,1.4956,1.709,1.77056,0.49307,0.42137,0.39908,0.20698,1.86118,2.04156,2.18055,0.000679204,0.000679204,0.000679204
55,971.356,1.44492,1.67653,1.73638,0.51209,0.42866,0.38744,0.20267,1.8459,2.08381,2.19583,0.000665057,0.000665057,0.000665057
56,988.246,1.49355,1.68073,1.7674,0.533,0.42654,0.40874,0.20894,1.87792,2.05332,2.22465,0.000650909,0.000650909,0.000650909
57,1005.31,1.45724,1.67241,1.74397,0.50094,0.42831,0.40411,0.20643,1.87561,2.11489,2.20528,0.000636762,0.000636762,0.000636762
58,1022.24,1.44235,1.65049,1.72863,0.48653,0.43653,0.40028,0.20778,1.837,2.06361,2.21929,0.000622615,0.000622615,0.000622615
59,1039.18,1.45407,1.63528,1.7333,0.4892,0.44708,0.40552,0.20921,1.85838,2.05007,2.18487,0.000608468,0.000608468,0.000608468
60,1056.12,1.43861,1.63484,1.72525,0.45951,0.44824,0.39968,0.21042,1.85727,2.0579,2.21285,0.000594321,0.000594321,0.000594321
61,1072.97,1.43059,1.60575,1.72615,0.48791,0.44186,0.40606,0.21137,1.8443,2.00587,2.19478,0.000580174,0.000580174,0.000580174
62,1090.07,1.42583,1.62117,1.71398,0.51446,0.43062,0.40189,0.20237,1.87961,2.08603,2.22928,0.000566027,0.000566027,0.000566027
63,1107.19,1.45815,1.64246,1.73849,0.55715,0.43587,0.41229,0.21033,1.84957,2.08473,2.20428,0.00055188,0.00055188,0.00055188
64,1124.16,1.43008,1.62134,1.70539,0.55115,0.43187,0.42556,0.21555,1.89602,2.02429,2.21418,0.000537733,0.000537733,0.000537733
65,1141.27,1.41565,1.62483,1.71295,0.56434,0.41759,0.41713,0.2178,1.86178,2.03272,2.22752,0.000523586,0.000523586,0.000523586
66,1158.32,1.42861,1.60651,1.72001,0.52106,0.45575,0.42427,0.21976,1.83415,2.00776,2.19064,0.000509438,0.000509438,0.000509438
67,1175.49,1.42693,1.62609,1.70081,0.49686,0.46615,0.41046,0.208,1.91491,2.03409,2.25663,0.000495291,0.000495291,0.000495291
68,1192.57,1.39823,1.56332,1.67827,0.50592,0.48012,0.4367,0.21827,1.87535,2.00527,2.21165,0.000481144,0.000481144,0.000481144
69,1209.73,1.40932,1.62408,1.71936,0.51789,0.436,0.41712,0.21814,1.87097,2.08498,2.19725,0.000466997,0.000466997,0.000466997
70,1226.86,1.4481,1.65289,1.71869,0.48578,0.45899,0.42114,0.21491,1.87702,2.06642,2.20685,0.00045285,0.00045285,0.00045285
