epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2465,1.87512,3.47327,2.02158,0.00276,0.45838,0.19395,0.09767,2.02794,3.47892,2.43024,0.00027151,0.00027151,0.00027151
2,31.3979,1.75242,3.1485,1.89136,0.00431,0.54625,0.24126,0.12042,2.02447,3.3623,2.27328,0.000553632,0.000553632,0.000553632
3,35.6312,1.9461,2.8541,1.96713,0.91071,0.12445,0.2115,0.11777,2.17857,3.11797,2.45605,0.000831981,0.000831981,0.000831981
4,39.7146,1.81842,2.58764,1.93028,0.12224,0.01954,0.05426,0.014,2.85696,3.39892,2.91234,0.00110656,0.00110656,0.00110656
5,43.7392,1.84289,2.5837,1.97807,0.46873,0.08453,0.08004,0.04005,2.31414,3.52086,2.5526,0.00137736,0.00137736,0.00137736
6,47.7664,1.8511,2.55868,1.97723,0.14443,0.20578,0.12301,0.04114,2.44945,3.50002,2.81708,0.00138184,0.00138184,0.00138184
7,51.7775,1.83446,2.5254,1.9605,0.34469,0.28831,0.21853,0.08331,2.67085,4.63223,3.02563,0.00137241,0.00137241,0.00137241
8,55.9227,1.78776,2.46656,1.93154,0.45959,0.25581,0.27688,0.1027,2.51613,3.45509,2.63252,0.00136298,0.00136298,0.00136298
9,59.9358,1.78083,2.45056,1.9474,0.33376,0.25316,0.25219,0.15931,2.2698,3.00181,2.57286,0.00135355,0.00135355,0.00135355
10,64.1558,1.76407,2.37306,1.91435,0.31697,0.33529,0.32844,0.23577,2.06439,3.17587,2.38835,0.00134412,0.00134412,0.00134412
11,68.2638,1.77383,2.35496,1.91612,0.97625,0.30303,0.322,0.245,2.17243,3.14923,2.58107,0.00133469,0.00133469,0.00133469
12,72.3665,1.7558,2.31551,1.90648,0.83968,0.22727,0.26352,0.17094,2.22387,3.27289,2.62827,0.00132525,0.00132525,0.00132525
13,76.4618,1.7807,2.30479,1.90992,0.96844,0.28788,0.33045,0.2485,1.97662,2.89106,2.4405,0.00131582,0.00131582,0.00131582
