epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,198.856,1.50093,1.76795,1.69347,0.49237,0.42612,0.38371,0.26922,1.98996,2.27181,2.22665,0.000848969,0.000848969,0.000848969
43,202.949,1.44915,1.66708,1.66474,0.44139,0.37547,0.38781,0.27086,1.9291,2.06514,2.23648,0.000834822,0.000834822,0.000834822
44,207.068,1.48161,1.63911,1.66116,0.40161,0.37489,0.35714,0.26193,2.02109,2.07834,2.27762,0.000820675,0.000820675,0.000820675
45,211.16,1.50137,1.68047,1.70792,0.37807,0.44126,0.37161,0.26074,1.97982,2.12862,2.22028,0.000806528,0.000806528,0.000806528
46,215.368,1.4636,1.6676,1.68566,0.46956,0.44706,0.40201,0.27465,1.9895,2.10113,2.26552,0.00079238,0.00079238,0.00079238
47,219.348,1.46735,1.66271,1.67112,0.42999,0.4373,0.3761,0.26399,1.98079,2.07571,2.26551,0.000778233,0.000778233,0.000778233
48,223.554,1.42828,1.63978,1.68038,0.44828,0.43291,0.39164,0.26375,1.97274,2.12723,2.24475,0.000764086,0.000764086,0.000764086
49,227.72,1.41499,1.56827,1.63511,0.56031,0.42513,0.42936,0.28517,1.93656,1.95185,2.2312,0.000749939,0.000749939,0.000749939
50,231.759,1.41473,1.58922,1.65142,0.40049,0.44459,0.38414,0.26467,1.94976,2.11961,2.32572,0.000735792,0.000735792,0.000735792
51,235.947,1.4337,1.60963,1.66981,0.41838,0.44465,0.41692,0.27175,1.98798,2.13422,2.33518,0.000721645,0.000721645,0.000721645
52,240.07,1.42602,1.56222,1.65169,0.45095,0.47328,0.40161,0.2764,1.98049,2.10294,2.31263,0.000707498,0.000707498,0.000707498
53,244.21,1.41401,1.52759,1.63449,0.43541,0.41797,0.40076,0.26631,2.02611,2.06237,2.29576,0.000693351,0.000693351,0.000693351
54,248.303,1.4265,1.58749,1.667,0.48761,0.39996,0.40767,0.27033,2.00274,2.12595,2.31865,0.000679204,0.000679204,0.000679204
55,252.37,1.43939,1.56477,1.65306,0.45289,0.43883,0.40569,0.26334,2.02878,2.13396,2.3065,0.000665057,0.000665057,0.000665057
56,256.509,1.39927,1.49283,1.6084,0.40328,0.48328,0.36979,0.26334,1.998,2.12371,2.28758,0.000650909,0.000650909,0.000650909
57,260.466,1.34839,1.47525,1.59166,0.48844,0.43407,0.39061,0.27267,1.98209,2.15118,2.29846,0.000636762,0.000636762,0.000636762
58,264.539,1.40573,1.48863,1.60958,0.41044,0.46276,0.3793,0.26608,2.06463,2.11347,2.27383,0.000622615,0.000622615,0.000622615
59,268.646,1.37648,1.43554,1.60332,0.43197,0.4603,0.3798,0.26344,2.04835,2.16009,2.28821,0.000608468,0.000608468,0.000608468
60,272.795,1.37884,1.48624,1.58686,0.40157,0.40559,0.35825,0.24778,2.07131,2.20762,2.33802,0.000594321,0.000594321,0.000594321
61,276.873,1.36569,1.47224,1.62004,0.44788,0.48667,0.41508,0.27045,1.99371,2.05295,2.31288,0.000580174,0.000580174,0.000580174
62,280.912,1.33425,1.39476,1.56411,0.47495,0.4564,0.41597,0.27422,1.95313,2.12962,2.27815,0.000566027,0.000566027,0.000566027
63,285.116,1.3312,1.41755,1.57885,0.47569,0.49884,0.42295,0.27638,1.98133,2.01369,2.29581,0.00055188,0.00055188,0.00055188
64,289.105,1.37589,1.44789,1.58424,0.48993,0.44779,0.42056,0.28161,2.02167,1.99594,2.3315,0.000537733,0.000537733,0.000537733
65,293.214,1.31505,1.40512,1.57604,0.48659,0.44324,0.40584,0.27457,1.95463,2.07165,2.27606,0.000523586,0.000523586,0.000523586
66,297.39,1.3199,1.3832,1.58258,0.42863,0.45793,0.38196,0.2723,1.95992,2.12882,2.27207,0.000509438,0.000509438,0.000509438
67,301.437,1.33312,1.34993,1.56656,0.45385,0.42315,0.37949,0.26293,1.9824,2.08215,2.28704,0.000495291,0.000495291,0.000495291
68,305.613,1.25281,1.30655,1.51836,0.35091,0.43588,0.40095,0.27033,2.03898,2.12915,2.32557,0.000481144,0.000481144,0.000481144
69,309.741,1.30968,1.34655,1.53387,0.46707,0.44664,0.39205,0.26152,2.05539,2.1418,2.36418,0.000466997,0.000466997,0.000466997
70,313.819,1.28048,1.31752,1.51526,0.43628,0.45805,0.40424,0.26864,1.98315,2.08749,2.3169,0.00045285,0.00045285,0.00045285
71,317.993,1.25466,1.31173,1.51334,0.43293,0.5028,0.38924,0.26828,1.99542,2.07807,2.30167,0.000438703,0.000438703,0.000438703
72,321.979,1.28324,1.3236,1.51026,0.41811,0.47298,0.38057,0.25322,2.05032,2.14879,2.32944,0.000424556,0.000424556,0.000424556
73,326.106,1.31724,1.33738,1.53148,0.45175,0.44225,0.38976,0.2614,1.98892,2.09489,2.30671,0.000410409,0.000410409,0.000410409
74,330.256,1.30277,1.35315,1.53622,0.46593,0.49205,0.39558,0.25708,2.01192,2.07061,2.32981,0.000396262,0.000396262,0.000396262
75,334.284,1.32822,1.32944,1.55291,0.45094,0.47055,0.39263,0.26955,2.0172,2.03957,2.35319,0.000382115,0.000382115,0.000382115
76,338.44,1.20988,1.24128,1.46914,0.47622,0.45541,0.38852,0.27072,2.01599,2.07887,2.36729,0.000367967,0.000367967,0.000367967
77,342.551,1.26448,1.23945,1.49336,0.47739,0.46715,0.40656,0.27171,1.97758,2.06518,2.32539,0.00035382,0.00035382,0.00035382
78,346.568,1.2195,1.2145,1.49249,0.4605,0.43588,0.40489,0.27486,1.96639,2.10047,2.33493,0.000339673,0.000339673,0.000339673
79,350.744,1.1888,1.23089,1.45477,0.48965,0.45979,0.42284,0.27778,2.01004,2.05922,2.37948,0.000325526,0.000325526,0.000325526
80,354.981,1.20116,1.16643,1.44524,0.43504,0.49205,0.38866,0.27165,2.01804,2.10474,2.35813,0.000311379,0.000311379,0.000311379
81,359.253,1.24984,1.25584,1.48743,0.45895,0.49205,0.4259,0.27166,2.04201,2.08522,2.3773,0.000297232,0.000297232,0.000297232
82,363.351,1.23096,1.20215,1.49653,0.4693,0.48469,0.42761,0.28168,2.02485,2.05525,2.35629,0.000283085,0.000283085,0.000283085
83,367.584,1.19831,1.1848,1.45239,0.48656,0.47923,0.4017,0.27603,2.04892,2.08396,2.37074,0.000268938,0.000268938,0.000268938
84,371.778,1.19733,1.15357,1.44252,0.45516,0.47253,0.40026,0.27561,2.06489,2.17122,2.35804,0.000254791,0.000254791,0.000254791
85,375.917,1.22263,1.24225,1.48476,0.43881,0.50681,0.40434,0.27564,2.1001,2.13336,2.42854,0.000240644,0.000240644,0.000240644
86,380.003,1.19466,1.18801,1.46878,0.48236,0.48809,0.40759,0.27661,2.06055,2.04198,2.40325,0.000226497,0.000226497,0.000226497
87,384.037,1.18845,1.14662,1.45077,0.45725,0.47592,0.41032,0.27956,2.04892,2.10038,2.38001,0.000212349,0.000212349,0.000212349
88,388.129,1.18971,1.14578,1.44716,0.47666,0.51497,0.40141,0.27125,2.06848,2.09577,2.3666,0.000198202,0.000198202,0.000198202
89,392.181,1.1579,1.1376,1.44059,0.4853,0.5287,0.41771,0.27098,2.08263,2.08979,2.35633,0.000184055,0.000184055,0.000184055
90,396.292,1.17233,1.12549,1.45126,0.4836,0.51596,0.4037,0.27136,2.08918,2.09963,2.38566,0.000169908,0.000169908,0.000169908
91,402.515,1.28649,1.43415,1.57381,0.45266,0.49644,0.39779,0.26909,2.08137,2.07673,2.4191,0.000155761,0.000155761,0.000155761
92,406.636,1.19339,1.21914,1.51083,0.4714,0.46031,0.4058,0.27391,2.06762,2.0982,2.43297,0.000141614,0.000141614,0.000141614
93,410.656,1.18513,1.14903,1.49515,0.46213,0.45541,0.40239,0.27332,2.07971,2.05156,2.4601,0.000127467,0.000127467,0.000127467
94,414.719,1.15924,1.13088,1.49747,0.45422,0.52137,0.40155,0.27362,2.10506,2.06639,2.46536,0.00011332,0.00011332,0.00011332
95,418.824,1.13761,1.09375,1.46719,0.46541,0.47055,0.39235,0.26727,2.10887,2.07899,2.46533,9.91726e-05,9.91726e-05,9.91726e-05
96,422.889,1.1637,1.11181,1.49202,0.47289,0.46517,0.39887,0.26751,2.11314,2.09647,2.46209,8.50255e-05,8.50255e-05,8.50255e-05
97,426.93,1.13946,1.08506,1.47286,0.48952,0.48229,0.40306,0.26674,2.10108,2.1213,2.46581,7.08784e-05,7.08784e-05,7.08784e-05
98,430.928,1.1233,1.06978,1.45511,0.51137,0.46715,0.41117,0.26849,2.08845,2.11807,2.46431,5.67313e-05,5.67313e-05,5.67313e-05
99,435.03,1.14759,1.11026,1.4642,0.51348,0.47154,0.41075,0.26937,2.09059,2.11591,2.46361,4.25842e-05,4.25842e-05,4.25842e-05
100,439,1.08261,1.05064,1.44482,0.51498,0.45823,0.41244,0.27031,2.08793,2.10645,2.47187,2.84371e-05,2.84371e-05,2.84371e-05
