epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,692.333,1.67482,1.93187,2.0961,0.40509,0.41797,0.34961,0.17469,1.96798,2.21047,2.53948,0.000900844,0.000900844,0.000900844
43,708.243,1.67539,1.89428,2.10205,0.41051,0.40131,0.33463,0.16988,1.96258,2.24142,2.53076,0.000896127,0.000896127,0.000896127
44,724.287,1.66631,1.96833,2.09854,0.43318,0.40777,0.33389,0.1727,1.94399,2.30085,2.50077,0.000891313,0.000891313,0.000891313
45,740.246,1.68178,1.96171,2.08911,0.46062,0.43774,0.37402,0.19454,1.93198,2.22256,2.48699,0.000886404,0.000886404,0.000886404
46,756.196,1.64077,1.89547,2.07268,0.43476,0.42022,0.3607,0.18768,1.97713,2.25959,2.49428,0.000881401,0.000881401,0.000881401
47,772.013,1.6411,1.94094,2.07152,0.44503,0.37419,0.33599,0.16313,2.00298,2.37493,2.55823,0.000876305,0.000876305,0.000876305
48,787.978,1.66667,1.94546,2.08705,0.47413,0.3905,0.37452,0.18971,1.94934,2.26883,2.5253,0.000871117,0.000871117,0.000871117
49,803.914,1.66342,1.95577,2.06401,0.44023,0.42727,0.35759,0.19084,1.91413,2.27177,2.48186,0.000865839,0.000865839,0.000865839
50,819.688,1.65834,1.89836,2.06846,0.43948,0.39328,0.35594,0.18824,1.93651,2.21006,2.52658,0.000860473,0.000860473,0.000860473
51,835.565,1.65223,1.88463,2.07302,0.42623,0.41004,0.3608,0.18811,1.93593,2.19584,2.4709,0.000855018,0.000855018,0.000855018
52,851.496,1.63433,1.92297,2.05452,0.46406,0.40592,0.3709,0.18463,1.9762,2.24635,2.54165,0.000849477,0.000849477,0.000849477
53,867.504,1.64174,1.90422,2.05339,0.43867,0.40804,0.36167,0.18156,1.97722,2.26402,2.5575,0.000843851,0.000843851,0.000843851
54,883.487,1.6279,1.87951,2.04019,0.45328,0.43207,0.37026,0.19014,1.88586,2.14771,2.42319,0.000838141,0.000838141,0.000838141
55,899.302,1.66095,1.91954,2.07404,0.45769,0.41786,0.35671,0.18185,1.94571,2.24703,2.52361,0.000832349,0.000832349,0.000832349
56,915.234,1.67081,1.91242,2.07173,0.39387,0.42628,0.36791,0.19279,1.94338,2.17576,2.52136,0.000826477,0.000826477,0.000826477
57,931.018,1.6517,1.89419,2.0496,0.40286,0.41591,0.35333,0.18499,1.93531,2.23725,2.52731,0.000820525,0.000820525,0.000820525
58,946.875,1.61575,1.86554,2.02353,0.4473,0.41649,0.34833,0.17764,1.96962,2.16998,2.52221,0.000814495,0.000814495,0.000814495
59,962.759,1.638,1.88024,2.04745,0.46193,0.42154,0.37407,0.19141,1.94036,2.15446,2.47733,0.000808389,0.000808389,0.000808389
60,978.826,1.61721,1.83892,2.01644,0.42277,0.45432,0.37904,0.19858,1.94368,2.16855,2.45643,0.000802208,0.000802208,0.000802208
