epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,678.992,1.67883,1.92113,2.03969,0.41332,0.39125,0.32172,0.16587,1.99834,2.2996,2.48496,0.000900844,0.000900844,0.000900844
43,694.748,1.664,1.87303,2.03655,0.4663,0.39839,0.34541,0.17889,1.93266,2.31147,2.43442,0.000896127,0.000896127,0.000896127
44,710.471,1.64331,1.96137,2.0206,0.48582,0.38255,0.36274,0.18342,1.97423,2.21022,2.4867,0.000891313,0.000891313,0.000891313
45,726.307,1.66392,1.95192,2.02647,0.49326,0.36648,0.34141,0.18406,1.9241,2.32428,2.42095,0.000886404,0.000886404,0.000886404
46,742.016,1.63442,1.89153,2.01188,0.46035,0.40137,0.37085,0.19692,1.91553,2.16269,2.37993,0.000881401,0.000881401,0.000881401
47,757.737,1.62993,1.89347,2.00028,0.46127,0.37559,0.33747,0.17753,1.98522,2.27399,2.52375,0.000876305,0.000876305,0.000876305
48,773.524,1.63706,1.90421,2.01655,0.5651,0.33999,0.37097,0.19119,1.94354,2.23617,2.42958,0.000871117,0.000871117,0.000871117
49,789.329,1.65897,1.925,2.00302,0.47363,0.36681,0.35313,0.18277,1.92378,2.2569,2.43018,0.000865839,0.000865839,0.000865839
50,804.989,1.65081,1.90546,1.99865,0.46869,0.36751,0.33813,0.179,1.92931,2.22978,2.45255,0.000860473,0.000860473,0.000860473
51,820.804,1.62451,1.8765,1.99649,0.50223,0.38236,0.36049,0.18783,1.90209,2.18222,2.39106,0.000855018,0.000855018,0.000855018
52,836.412,1.62804,1.89904,1.98399,0.49939,0.3918,0.35775,0.18204,1.92284,2.147,2.40813,0.000849477,0.000849477,0.000849477
53,852.126,1.62747,1.87875,1.98862,0.45341,0.43458,0.36366,0.18649,1.91144,2.18139,2.39082,0.000843851,0.000843851,0.000843851
54,867.827,1.6321,1.86358,1.98484,0.49256,0.39353,0.36628,0.18499,1.89601,2.19192,2.3573,0.000838141,0.000838141,0.000838141
55,883.465,1.65423,1.86749,1.99515,0.42642,0.41949,0.33268,0.17239,1.95049,2.22503,2.46376,0.000832349,0.000832349,0.000832349
56,899.152,1.64748,1.87488,1.99137,0.44593,0.38461,0.35409,0.18033,1.92825,2.16386,2.41438,0.000826477,0.000826477,0.000826477
57,914.834,1.6153,1.84748,1.98077,0.46684,0.40493,0.36128,0.17864,1.9351,2.22362,2.43743,0.000820525,0.000820525,0.000820525
58,930.338,1.59005,1.84348,1.95968,0.43767,0.41635,0.35429,0.18176,1.9208,2.18536,2.39371,0.000814495,0.000814495,0.000814495
