epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1019.35,1.68546,2.07644,2.13347,0.38337,0.43053,0.34883,0.17667,1.9328,2.34637,2.49923,0.000900844,0.000900844,0.000900844
43,1043.59,1.67551,2.02789,2.12213,0.43044,0.42598,0.35962,0.18356,1.92661,2.31041,2.48845,0.000896127,0.000896127,0.000896127
44,1067.77,1.66005,2.11255,2.13384,0.43805,0.42335,0.36688,0.18466,1.92663,2.25421,2.47982,0.000891313,0.000891313,0.000891313
45,1091.92,1.68235,2.08772,2.13148,0.42699,0.41881,0.37316,0.19165,1.9278,2.25267,2.48039,0.000886404,0.000886404,0.000886404
46,1116.11,1.66598,2.04522,2.11522,0.48927,0.41709,0.35888,0.18809,1.95811,2.32355,2.46734,0.000881401,0.000881401,0.000881401
47,1140.21,1.63383,2.04044,2.08924,0.44852,0.42512,0.3564,0.1837,1.92435,2.30577,2.48649,0.000876305,0.000876305,0.000876305
48,1164.37,1.6617,2.05556,2.11599,0.40121,0.42085,0.37545,0.18852,1.9226,2.28427,2.46968,0.000871117,0.000871117,0.000871117
49,1188.55,1.67263,2.08898,2.10758,0.439,0.43794,0.38039,0.19627,1.90173,2.24378,2.4563,0.000865839,0.000865839,0.000865839
50,1212.71,1.64814,2.03335,2.10301,0.4475,0.43314,0.36938,0.19192,1.91065,2.23607,2.45428,0.000860473,0.000860473,0.000860473
51,1236.95,1.6301,1.99875,2.09378,0.46954,0.43172,0.37659,0.19346,1.88657,2.24524,2.42847,0.000855018,0.000855018,0.000855018
52,1261.16,1.62962,2.03642,2.08167,0.47244,0.40593,0.36404,0.18894,1.90087,2.24693,2.45681,0.000849477,0.000849477,0.000849477
53,1285.33,1.63515,2.00451,2.08346,0.44438,0.4154,0.36124,0.18477,1.94427,2.30319,2.49347,0.000843851,0.000843851,0.000843851
54,1309.51,1.63391,2.02679,2.07842,0.43874,0.42029,0.36845,0.18731,1.89714,2.2908,2.44164,0.000838141,0.000838141,0.000838141
55,1333.78,1.63606,2.04182,2.09886,0.47336,0.38885,0.35489,0.18464,1.8987,2.2624,2.46687,0.000832349,0.000832349,0.000832349
56,1357.86,1.6526,2.02905,2.09545,0.43071,0.43701,0.36392,0.18692,1.92646,2.25645,2.46755,0.000826477,0.000826477,0.000826477
57,1382.14,1.61549,1.99167,2.07924,0.44085,0.42779,0.36135,0.18101,1.92727,2.27626,2.4739,0.000820525,0.000820525,0.000820525
58,1406.37,1.62586,1.97637,2.06136,0.41138,0.43917,0.35929,0.17767,1.93774,2.26843,2.47651,0.000814495,0.000814495,0.000814495
59,1430.64,1.63321,1.99794,2.07476,0.4757,0.42647,0.37016,0.19184,1.8942,2.20545,2.43314,0.000808389,0.000808389,0.000808389
60,1454.94,1.57662,1.93667,2.03165,0.413,0.43372,0.35667,0.18672,1.8739,2.27909,2.40305,0.000802208,0.000802208,0.000802208
61,1479.14,1.60619,1.94308,2.05267,0.42955,0.41678,0.35806,0.1791,1.93109,2.2286,2.49285,0.000795954,0.000795954,0.000795954
62,1503.34,1.61419,1.96463,2.06624,0.4133,0.47317,0.36518,0.18184,1.9397,2.28367,2.434,0.000789628,0.000789628,0.000789628
63,1527.53,1.56042,1.91351,2.02136,0.48324,0.43715,0.39341,0.1982,1.89625,2.21528,2.46732,0.000783231,0.000783231,0.000783231
64,1551.89,1.60776,1.95398,2.06239,0.43866,0.45812,0.38848,0.19558,1.92458,2.23046,2.47405,0.000776766,0.000776766,0.000776766
65,1576.09,1.5965,1.9566,2.05347,0.42105,0.43491,0.38285,0.19644,1.88679,2.21583,2.40901,0.000770234,0.000770234,0.000770234
66,1600.22,1.60376,1.95844,2.04934,0.42863,0.44652,0.3694,0.18469,1.92298,2.29739,2.43739,0.000763637,0.000763637,0.000763637
67,1624.34,1.59341,1.94895,2.05265,0.48852,0.41736,0.37498,0.19774,1.87157,2.19476,2.41027,0.000756976,0.000756976,0.000756976
68,1648.53,1.61418,1.94593,2.06334,0.42065,0.45573,0.38231,0.19555,1.88436,2.22511,2.42919,0.000750252,0.000750252,0.000750252
69,1672.69,1.59147,1.94576,2.04479,0.43446,0.45855,0.40496,0.20561,1.87083,2.16264,2.40249,0.000743468,0.000743468,0.000743468
70,1696.89,1.5789,1.93057,2.03283,0.46863,0.44467,0.38817,0.19808,1.91394,2.1882,2.41681,0.000736625,0.000736625,0.000736625
71,1721.09,1.62402,1.9467,2.05084,0.52721,0.42022,0.39634,0.20015,1.91679,2.21161,2.46323,0.000729725,0.000729725,0.000729725
72,1745.16,1.56571,1.93027,2.02217,0.48124,0.46209,0.40944,0.20416,1.95362,2.16068,2.4399,0.00072277,0.00072277,0.00072277
73,1769.44,1.5868,1.90294,2.01712,0.46878,0.45295,0.39017,0.19713,1.86743,2.25903,2.42189,0.000715761,0.000715761,0.000715761
74,1793.61,1.58706,1.95173,2.05088,0.47726,0.4452,0.38697,0.18714,1.95905,2.34126,2.50261,0.0007087,0.0007087,0.0007087
75,1817.74,1.59911,1.92111,2.05086,0.49859,0.44293,0.40065,0.18832,1.92378,2.23835,2.49614,0.000701588,0.000701588,0.000701588
76,1841.93,1.56662,1.88552,2.011,0.47078,0.47661,0.40365,0.19936,1.90576,2.2203,2.43174,0.000694428,0.000694428,0.000694428
77,1865.95,1.5684,1.89611,1.99936,0.47584,0.44528,0.39491,0.20635,1.87271,2.17753,2.40512,0.000687222,0.000687222,0.000687222
78,1890.32,1.56221,1.88512,2.02329,0.48045,0.42101,0.39837,0.19365,1.91117,2.19804,2.45035,0.00067997,0.00067997,0.00067997
79,1914.34,1.59284,1.89917,2.02647,0.44174,0.45037,0.39907,0.19757,1.93955,2.18593,2.49006,0.000672675,0.000672675,0.000672675
80,1938.39,1.58617,1.91339,2.03379,0.4037,0.47738,0.41096,0.20015,1.97467,2.21593,2.48987,0.000665339,0.000665339,0.000665339
81,1962.5,1.58315,1.89651,2.02536,0.49125,0.43635,0.40477,0.20593,1.88253,2.20973,2.41016,0.000657963,0.000657963,0.000657963
82,1986.62,1.55399,1.91699,2.00604,0.50253,0.43225,0.39828,0.20631,1.88516,2.13471,2.37943,0.00065055,0.00065055,0.00065055
